"row","col","yield","inoc","gen","dry","dust","block"
1,1,64,"Uninoc","Marquis","Dry","DuBay","B1"
1,10,69,"Uninoc","Marquis","Dry","Check","B1"
1,11,67,"Uninoc","Marquis","Dry","Ceresan","B1"
1,12,66,"Inoc","Marquis","Dry","Ceresan","B1"
1,13,71,"Inoc","Marquis","Dry","CaCO3","B1"
1,14,64,"Uninoc","Marquis","Dry","CaCO3","B1"
1,15,64,"Uninoc","Marquis","Wet","CaCO3","B1"
1,16,75,"Inoc","Marquis","Wet","CaCO3","B1"
1,17,70,"Inoc","Marquis","Wet","Ceresan","B1"
1,18,66,"Uninoc","Marquis","Wet","Ceresan","B1"
1,19,67,"Inoc","Marquis","Wet","DuBay","B1"
1,2,68,"Inoc","Marquis","Dry","DuBay","B1"
1,20,65,"Uninoc","Marquis","Wet","DuBay","B1"
1,3,68,"Uninoc","Marquis","Wet","Semesan","B1"
1,4,71,"Inoc","Marquis","Wet","Semesan","B1"
1,5,62,"Uninoc","Marquis","Dry","Semesan","B1"
1,6,73,"Inoc","Marquis","Dry","Semesan","B1"
1,7,56,"Uninoc","Marquis","Wet","Check","B1"
1,8,67,"Inoc","Marquis","Wet","Check","B1"
1,9,78,"Inoc","Marquis","Dry","Check","B1"
2,1,76,"Inoc","Mindum","Wet","DuBay","B1"
2,10,72,"Inoc","Mindum","Dry","Semesan","B1"
2,11,73,"Inoc","Mindum","Wet","Semesan","B1"
2,12,67,"Uninoc","Mindum","Wet","Semesan","B1"
2,13,72,"Inoc","Mindum","Dry","Ceresan","B1"
2,14,70,"Uninoc","Mindum","Dry","Ceresan","B1"
2,15,72,"Uninoc","Mindum","Dry","Check","B1"
2,16,85,"Inoc","Mindum","Dry","Check","B1"
2,17,76,"Inoc","Mindum","Dry","DuBay","B1"
2,18,70,"Uninoc","Mindum","Dry","DuBay","B1"
2,19,71,"Uninoc","Mindum","Dry","CaCO3","B1"
2,2,69,"Uninoc","Mindum","Wet","DuBay","B1"
2,20,74,"Inoc","Mindum","Dry","CaCO3","B1"
2,3,66,"Uninoc","Mindum","Wet","Ceresan","B1"
2,4,72,"Inoc","Mindum","Wet","Ceresan","B1"
2,5,75,"Uninoc","Mindum","Wet","Check","B1"
2,6,81,"Inoc","Mindum","Wet","Check","B1"
2,7,72,"Inoc","Mindum","Wet","CaCO3","B1"
2,8,71,"Uninoc","Mindum","Wet","CaCO3","B1"
2,9,70,"Uninoc","Mindum","Dry","Semesan","B1"
3,1,66,"Inoc","Marquis","Dry","CaCO3","B2"
3,10,60,"Inoc","Marquis","Dry","Ceresan","B2"
3,11,53,"Inoc","Marquis","Dry","DuBay","B2"
3,12,61,"Uninoc","Marquis","Dry","DuBay","B2"
3,13,73,"Inoc","Marquis","Dry","Check","B2"
3,14,56,"Uninoc","Marquis","Dry","Check","B2"
3,15,59,"Uninoc","Marquis","Wet","DuBay","B2"
3,16,55,"Inoc","Marquis","Wet","DuBay","B2"
3,17,47,"Inoc","Marquis","Dry","Semesan","B2"
3,18,58,"Uninoc","Marquis","Dry","Semesan","B2"
3,19,64,"Inoc","Marquis","Wet","Check","B2"
3,2,63,"Uninoc","Marquis","Dry","CaCO3","B2"
3,20,55,"Uninoc","Marquis","Wet","Check","B2"
3,3,63,"Inoc","Marquis","Wet","CaCO3","B2"
3,4,51,"Uninoc","Marquis","Wet","CaCO3","B2"
3,5,58,"Inoc","Marquis","Wet","Semesan","B2"
3,6,64,"Uninoc","Marquis","Wet","Semesan","B2"
3,7,60,"Inoc","Marquis","Wet","Ceresan","B2"
3,8,57,"Uninoc","Marquis","Wet","Ceresan","B2"
3,9,55,"Uninoc","Marquis","Dry","Ceresan","B2"
4,1,54,"Uninoc","Mindum","Wet","DuBay","B2"
4,10,72,"Inoc","Mindum","Dry","Ceresan","B2"
4,11,76,"Inoc","Mindum","Wet","Check","B2"
4,12,69,"Uninoc","Mindum","Wet","Check","B2"
4,13,66,"Uninoc","Mindum","Wet","CaCO3","B2"
4,14,78,"Inoc","Mindum","Wet","CaCO3","B2"
4,15,67,"Uninoc","Mindum","Wet","Semesan","B2"
4,16,63,"Inoc","Mindum","Wet","Semesan","B2"
4,17,69,"Inoc","Mindum","Dry","Semesan","B2"
4,18,74,"Uninoc","Mindum","Dry","Semesan","B2"
4,19,73,"Uninoc","Mindum","Dry","Check","B2"
4,2,74,"Inoc","Mindum","Wet","DuBay","B2"
4,20,76,"Inoc","Mindum","Dry","Check","B2"
4,3,73,"Uninoc","Mindum","Dry","CaCO3","B2"
4,4,72,"Inoc","Mindum","Dry","CaCO3","B2"
4,5,73,"Inoc","Mindum","Wet","Ceresan","B2"
4,6,64,"Uninoc","Mindum","Wet","Ceresan","B2"
4,7,79,"Inoc","Mindum","Dry","DuBay","B2"
4,8,68,"Uninoc","Mindum","Dry","DuBay","B2"
4,9,68,"Uninoc","Mindum","Dry","Ceresan","B2"
5,1,83,"Inoc","Mindum","Wet","CaCO3","B3"
5,10,94,"Inoc","Mindum","Dry","Check","B3"
5,11,77,"Uninoc","Mindum","Dry","DuBay","B3"
5,12,76,"Inoc","Mindum","Dry","DuBay","B3"
5,13,74,"Uninoc","Mindum","Wet","Ceresan","B3"
5,14,77,"Inoc","Mindum","Wet","Ceresan","B3"
5,15,76,"Inoc","Mindum","Dry","Semesan","B3"
5,16,73,"Uninoc","Mindum","Dry","Semesan","B3"
5,17,69,"Uninoc","Mindum","Wet","Semesan","B3"
5,18,70,"Inoc","Mindum","Wet","Semesan","B3"
5,19,75,"Uninoc","Mindum","Wet","Check","B3"
5,2,73,"Uninoc","Mindum","Wet","CaCO3","B3"
5,20,88,"Inoc","Mindum","Wet","Check","B3"
5,3,68,"Inoc","Mindum","Wet","DuBay","B3"
5,4,60,"Uninoc","Mindum","Wet","DuBay","B3"
5,5,82,"Uninoc","Mindum","Dry","CaCO3","B3"
5,6,79,"Inoc","Mindum","Dry","CaCO3","B3"
5,7,73,"Uninoc","Mindum","Dry","Ceresan","B3"
5,8,81,"Inoc","Mindum","Dry","Ceresan","B3"
5,9,84,"Uninoc","Mindum","Dry","Check","B3"
6,1,51,"Uninoc","Marquis","Wet","Semesan","B3"
6,10,65,"Uninoc","Marquis","Dry","Semesan","B3"
6,11,64,"Inoc","Marquis","Wet","DuBay","B3"
6,12,61,"Uninoc","Marquis","Wet","DuBay","B3"
6,13,60,"Uninoc","Marquis","Dry","Check","B3"
6,14,65,"Inoc","Marquis","Dry","Check","B3"
6,15,56,"Uninoc","Marquis","Dry","CaCO3","B3"
6,16,67,"Inoc","Marquis","Dry","CaCO3","B3"
6,17,61,"Uninoc","Marquis","Wet","CaCO3","B3"
6,18,74,"Inoc","Marquis","Wet","CaCO3","B3"
6,19,73,"Inoc","Marquis","Wet","Check","B3"
6,2,59,"Inoc","Marquis","Wet","Semesan","B3"
6,20,55,"Uninoc","Marquis","Wet","Check","B3"
6,3,57,"Inoc","Marquis","Dry","DuBay","B3"
6,4,57,"Uninoc","Marquis","Dry","DuBay","B3"
6,5,63,"Inoc","Marquis","Dry","Ceresan","B3"
6,6,60,"Uninoc","Marquis","Dry","Ceresan","B3"
6,7,57,"Uninoc","Marquis","Wet","Ceresan","B3"
6,8,61,"Inoc","Marquis","Wet","Ceresan","B3"
6,9,63,"Inoc","Marquis","Dry","Semesan","B3"
7,1,63,"Uninoc","Mindum","Wet","Semesan","B4"
7,10,66,"Uninoc","Mindum","Dry","Ceresan","B4"
7,11,68,"Inoc","Mindum","Dry","Semesan","B4"
7,12,70,"Uninoc","Mindum","Dry","Semesan","B4"
7,13,63,"Uninoc","Mindum","Wet","CaCO3","B4"
7,14,68,"Inoc","Mindum","Wet","CaCO3","B4"
7,15,64,"Inoc","Mindum","Wet","Ceresan","B4"
7,16,61,"Uninoc","Mindum","Wet","Ceresan","B4"
7,17,59,"Inoc","Mindum","Wet","DuBay","B4"
7,18,63,"Uninoc","Mindum","Wet","DuBay","B4"
7,19,65,"Uninoc","Mindum","Dry","Check","B4"
7,2,72,"Inoc","Mindum","Wet","Semesan","B4"
7,20,77,"Inoc","Mindum","Dry","Check","B4"
7,3,72,"Uninoc","Mindum","Wet","Check","B4"
7,4,83,"Inoc","Mindum","Wet","Check","B4"
7,5,78,"Inoc","Mindum","Dry","CaCO3","B4"
7,6,69,"Uninoc","Mindum","Dry","CaCO3","B4"
7,7,70,"Uninoc","Mindum","Dry","DuBay","B4"
7,8,66,"Inoc","Mindum","Dry","DuBay","B4"
7,9,60,"Inoc","Mindum","Dry","Ceresan","B4"
8,1,60,"Uninoc","Marquis","Wet","Check","B4"
8,10,69,"Inoc","Marquis","Wet","Semesan","B4"
8,11,58,"Inoc","Marquis","Dry","DuBay","B4"
8,12,62,"Uninoc","Marquis","Dry","DuBay","B4"
8,13,60,"Uninoc","Marquis","Dry","Check","B4"
8,14,72,"Inoc","Marquis","Dry","Check","B4"
8,15,57,"Inoc","Marquis","Dry","Ceresan","B4"
8,16,54,"Uninoc","Marquis","Dry","Ceresan","B4"
8,17,58,"Uninoc","Marquis","Wet","DuBay","B4"
8,18,58,"Inoc","Marquis","Wet","DuBay","B4"
8,19,64,"Uninoc","Marquis","Dry","CaCO3","B4"
8,2,69,"Inoc","Marquis","Wet","Check","B4"
8,20,65,"Inoc","Marquis","Dry","CaCO3","B4"
8,3,60,"Uninoc","Marquis","Wet","CaCO3","B4"
8,4,67,"Inoc","Marquis","Wet","CaCO3","B4"
8,5,67,"Inoc","Marquis","Dry","Semesan","B4"
8,6,52,"Uninoc","Marquis","Dry","Semesan","B4"
8,7,61,"Inoc","Marquis","Wet","Ceresan","B4"
8,8,56,"Uninoc","Marquis","Wet","Ceresan","B4"
8,9,61,"Uninoc","Marquis","Wet","Semesan","B4"
